   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  1.000000000E-05   9.986172812E-04   0.000000000E+00   1.000000000E+02   0.000000000E+00   0.000000000E+00   2.400000000E+02   1.000000000E+00   0.000000000E+00 
  2.000000000E-05   1.333664768E+00   1.998001714E+00   9.990010774E+01   0.000000000E+00   9.986180771E-04   2.400000000E+02   1.000000000E+00   9.986180885E-06 
  3.000000000E-05   2.665442723E+00   1.996005210E+00   9.980028203E+01   0.000000000E+00   1.333664770E+00   2.400000000E+02   1.000000000E+00   1.335642021E-02 
  4.000000000E-05   3.996554902E+00   1.994010688E+00   9.970055608E+01   0.000000000E+00   2.665442722E+00   2.400000000E+02   1.000000000E+00   5.308036506E-02 
  5.000000000E-05   5.326779774E+00   1.992017665E+00   9.960090487E+01   0.000000000E+00   3.996554909E+00   2.400000000E+02   1.000000000E+00   1.186387315E-01 
  6.000000000E-05   6.656117929E+00   1.990026632E+00   9.950135326E+01   0.000000000E+00   5.326779778E+00   2.400000000E+02   1.000000000E+00   2.094992995E-01 
  7.000000000E-05   7.984569959E+00   1.988037589E+00   9.940190116E+01   0.000000000E+00   6.656117932E+00   2.400000000E+02   1.000000000E+00   3.251383007E-01 
  8.000000000E-05   9.312136456E+00   1.986050535E+00   9.930254846E+01   0.000000000E+00   7.984569969E+00   2.400000000E+02   1.000000000E+00   4.650424123E-01 
  9.000000000E-05   1.063881801E+01   1.984065470E+00   9.920329507E+01   0.000000000E+00   9.312136456E+00   2.400000000E+02   1.000000000E+00   6.287086010E-01 
  1.000000000E-04   1.196461521E+01   1.982082388E+00   9.910414087E+01   0.000000000E+00   1.063881801E+01   2.400000000E+02   1.000000000E+00   8.156439662E-01 
  1.100000000E-04   1.328952864E+01   1.980101281E+00   9.900508579E+01   0.000000000E+00   1.196461520E+01   2.400000000E+02   1.000000000E+00   1.025365472E+00 
  1.200000000E-04   1.461355890E+01   1.978122157E+00   9.890612971E+01   0.000000000E+00   1.328952865E+01   2.400000000E+02   1.000000000E+00   1.257399559E+00 
  1.300000000E-04   1.593670657E+01   1.976145022E+00   9.880727253E+01   0.000000000E+00   1.461355890E+01   2.400000000E+02   1.000000000E+00   1.511282444E+00 
  1.400000000E-04   1.725897224E+01   1.974169855E+00   9.870851417E+01   0.000000000E+00   1.593670657E+01   2.400000000E+02   1.000000000E+00   1.786559463E+00 
  1.500000000E-04   1.858035650E+01   1.972196664E+00   9.860985451E+01   0.000000000E+00   1.725897224E+01   2.400000000E+02   1.000000000E+00   2.082785130E+00 
  1.600000000E-04   1.990085994E+01   1.970225441E+00   9.851129347E+01   0.000000000E+00   1.858035650E+01   2.400000000E+02   1.000000000E+00   2.399522781E+00 
  1.700000000E-04   2.122048315E+01   1.968256193E+00   9.841283093E+01   0.000000000E+00   1.990085994E+01   2.400000000E+02   1.000000000E+00   2.736344576E+00 
  1.800000000E-04   2.253922670E+01   1.966288906E+00   9.831446682E+01   0.000000000E+00   2.122048315E+01   2.400000000E+02   0.000000000E+00   3.092831135E+00 
  1.900000000E-04   2.253770077E+01   1.964323594E+00   9.821620101E+01   0.000000000E+00   2.253922671E+01   2.400000000E+02   0.000000000E+00   3.468571663E+00 
  2.000000000E-04   2.252249217E+01   1.984882772E+00   9.924416021E+01   0.000000000E+00   2.253770077E+01   2.400000000E+02   0.000000000E+00   3.849969387E+00 
  2.100000000E-04   2.249704428E+01   2.005409623E+00   1.002705031E+02   0.000000000E+00   2.252249217E+01   2.400000000E+02   0.000000000E+00   4.223571777E+00 
  2.200000000E-04   2.245797274E+01   2.025903719E+00   1.012952082E+02   0.000000000E+00   2.249704428E+01   2.400000000E+02   0.000000000E+00   4.589295864E+00 
  2.300000000E-04   2.240532629E+01   2.046345088E+00   1.023172769E+02   0.000000000E+00   2.245797274E+01   2.400000000E+02   0.000000000E+00   4.947060108E+00 
  2.400000000E-04   2.233916263E+01   2.066720199E+00   1.033360322E+02   0.000000000E+00   2.240532629E+01   2.400000000E+02   0.000000000E+00   5.296751976E+00 
  2.500000000E-04   2.225954837E+01   2.087015552E+00   1.043508005E+02   0.000000000E+00   2.233916263E+01   2.400000000E+02   0.000000000E+00   5.638261795E+00 
  2.600000000E-04   2.216655899E+01   2.107217782E+00   1.053609119E+02   0.000000000E+00   2.225954837E+01   2.400000000E+02   0.000000000E+00   5.971483707E+00 
  2.700000000E-04   2.206027876E+01   2.127313550E+00   1.063657008E+02   0.000000000E+00   2.216655899E+01   2.400000000E+02   0.000000000E+00   6.296315193E+00 
  2.800000000E-04   2.194080065E+01   2.147289649E+00   1.073645061E+02   0.000000000E+00   2.206027876E+01   2.400000000E+02   0.000000000E+00   6.612657070E+00 
  2.900000000E-04   2.180822630E+01   2.167132962E+00   1.083566720E+02   0.000000000E+00   2.194080065E+01   2.400000000E+02   0.000000000E+00   6.920414925E+00 
  3.000000000E-04   2.166266590E+01   2.186830486E+00   1.093415481E+02   0.000000000E+00   2.180822630E+01   2.400000000E+02   0.000000000E+00   7.219496727E+00 
  3.100000000E-04   2.150423810E+01   2.206369317E+00   1.103184898E+02   0.000000000E+00   2.166266589E+01   2.400000000E+02   0.000000000E+00   7.509815693E+00 
  3.200000000E-04   2.133306996E+01   2.225736701E+00   1.112868592E+02   0.000000000E+00   2.150423810E+01   2.400000000E+02   0.000000000E+00   7.791288376E+00 
  3.300000000E-04   2.114929681E+01   2.244920005E+00   1.122460249E+02   0.000000000E+00   2.133306997E+01   2.400000000E+02   0.000000000E+00   8.063836098E+00 
  3.400000000E-04   2.095306214E+01   2.263906765E+00   1.131953629E+02   0.000000000E+00   2.114929681E+01   2.400000000E+02   0.000000000E+00   8.327383041E+00 
  3.500000000E-04   2.074451753E+01   2.282684633E+00   1.141342565E+02   0.000000000E+00   2.095306213E+01   2.400000000E+02   0.000000000E+00   8.581858635E+00 
  3.600000000E-04   2.052382251E+01   2.301241445E+00   1.150620973E+02   0.000000000E+00   2.074451752E+01   2.400000000E+02   0.000000000E+00   8.827197075E+00 
  3.700000000E-04   2.029114443E+01   2.319565191E+00   1.159782850E+02   0.000000000E+00   2.052382251E+01   2.400000000E+02   0.000000000E+00   9.063336372E+00 
  3.800000000E-04   2.004665838E+01   2.337644055E+00   1.168822284E+02   0.000000000E+00   2.029114443E+01   2.400000000E+02   0.000000000E+00   9.290219307E+00 
  3.900000000E-04   1.979054701E+01   2.355466385E+00   1.177733451E+02   0.000000000E+00   2.004665838E+01   2.400000000E+02   0.000000000E+00   9.507793427E+00 
  4.000000000E-04   1.952300041E+01   2.373020735E+00   1.186510625E+02   0.000000000E+00   1.979054701E+01   2.400000000E+02   1.000000000E+00   9.716009140E+00 
  4.100000000E-04   2.084265554E+01   2.390295833E+00   1.195148177E+02   0.000000000E+00   1.952300040E+01   2.400000000E+02   1.000000000E+00   9.914824486E+00 
  4.200000000E-04   2.216143114E+01   2.387907315E+00   1.193953918E+02   0.000000000E+00   2.084265554E+01   2.400000000E+02   0.000000000E+00   1.012018490E+01 
